Model,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Train_MAE,Test_MAE
Linear Regression,984051.9236507412,1324506.9600914402,0.6859438988560158,0.6529242642153175,719242.8936724712,970043.4039201642
Random Forest Regressor,428403.12793082674,1401308.2244737812,0.9404781430519027,0.6115070828440698,319090.1627541152,1025893.3970006312
Decision Tree Regressor,281907.5922438186,1608403.2044931795,0.9742258263530746,0.48819370547139185,161335.72628239723,1197221.636085627
